,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
78,79,Pierre Oriola,FCB,42,20.0,2.7,5.2,0.528,0.6,1.8,0.36,1.8,2.6,0.7,0.5,2.0,1.6,2.6,4.2,0.7,0.5,0.4,8.0
79,80,Sasu Salin,UNI,34,22.2,2.3,6.6,0.353,2.0,5.5,0.36200000000000004,1.3,1.5,0.88,0.9,1.7,0.5,1.7,2.3,1.3,0.5,0.0,7.9
80,81,Michele Vitali,AND,34,20.2,2.9,7.0,0.414,1.4,4.0,0.33799999999999997,0.8,1.4,0.5529999999999999,1.0,1.9,0.3,1.9,2.1,2.0,0.5,0.0,7.9
81,82,Vyacheslav Bobrov,GBC,34,19.9,3.2,5.5,0.583,0.2,0.8,0.308,1.2,1.9,0.6559999999999999,1.2,2.9,1.4,2.1,3.5,0.8,0.6,0.3,7.9
82,83,Sam Van Rossom,VAL,39,21.5,2.9,6.5,0.444,1.5,4.1,0.36700000000000005,0.6,0.7,0.828,1.5,1.3,0.3,1.6,1.8,4.2,0.5,0.0,7.8
83,84,Omar Cook,EST,34,31.1,2.3,6.1,0.379,1.5,4.4,0.345,1.7,2.1,0.8059999999999999,1.8,2.5,0.1,2.3,2.4,6.4,1.4,0.0,7.8
84,85,Ferran Bassas,CAN,34,19.1,2.6,5.7,0.461,1.2,3.4,0.36200000000000004,1.3,1.5,0.843,1.4,2.0,0.4,1.1,1.5,3.8,0.5,0.0,7.7
85,86,Johnny Berhanemeskel,ZAR,39,16.7,2.5,6.5,0.391,1.3,3.4,0.38799999999999996,1.2,1.4,0.804,0.9,1.0,0.4,1.0,1.4,1.4,0.6,0.1,7.6
86,87,Andreas Obst,OBR,31,17.1,2.5,5.9,0.423,1.7,4.0,0.43200000000000005,0.6,0.7,0.909,0.8,1.4,0.2,1.1,1.3,1.3,0.3,0.0,7.4
87,88,Marcelinho Huertas,CAJ,34,19.6,2.9,5.8,0.495,0.6,1.6,0.375,0.9,1.0,0.97,1.7,1.3,0.5,1.5,2.0,4.9,0.7,0.0,7.3
88,89,Marc Garcia,MON,29,14.0,2.2,4.8,0.45299999999999996,0.8,2.0,0.379,2.2,2.7,0.831,0.6,0.9,0.6,1.2,1.8,0.3,0.3,0.0,7.3
89,90,Xavi Rabaseda,GCN,33,19.9,2.3,5.5,0.414,1.3,3.4,0.384,1.5,1.7,0.873,1.1,1.8,0.8,2.1,2.9,1.0,1.1,0.4,7.3
90,91,Tomas Bellas,MON,33,20.8,2.4,5.4,0.444,1.2,2.6,0.447,1.3,1.8,0.746,0.9,2.1,0.2,1.4,1.6,2.4,0.8,0.0,7.3
91,92,Nacho Martin,ZAR,38,19.1,2.6,5.6,0.46,0.9,2.4,0.366,1.2,1.5,0.81,0.8,1.9,1.0,2.5,3.5,1.2,0.2,0.1,7.2
92,93,Gustavo Ayon,RMB,35,18.8,3.1,4.6,0.675,0.0,0.0,0.0,1.0,1.7,0.61,1.3,2.2,1.7,4.1,5.8,2.3,0.5,0.6,7.2
93,94,Jeffery Taylor,RMB,35,17.2,2.7,5.0,0.5429999999999999,1.0,2.3,0.43799999999999994,0.7,1.1,0.6409999999999999,0.7,1.8,0.5,1.0,1.5,0.9,0.7,0.1,7.1
94,95,Edy Tavares,RMB,41,20.1,3.0,3.9,0.752,0.0,0.0,0.0,1.2,1.8,0.685,1.3,2.6,2.4,4.9,7.2,0.4,0.4,1.9,7.1
95,96,Dani Perez,GBC,34,24.6,2.3,5.8,0.39799999999999996,1.0,2.6,0.39299999999999996,1.5,2.0,0.725,2.2,2.0,0.2,1.7,1.9,5.3,1.3,0.0,7.1
96,97,Rodrigo San Miguel,CAN,32,23.6,2.3,5.2,0.44,1.3,3.4,0.391,1.1,1.7,0.642,1.4,1.8,0.3,1.0,1.4,3.4,0.7,0.0,7.0
97,98,Javier Justiz,ZAR,39,15.3,2.7,5.4,0.495,0.0,0.1,0.0,1.6,2.4,0.677,1.3,2.8,1.5,2.8,4.3,0.3,0.4,0.7,6.9
98,99,Pere Tomas,MAN,35,23.4,2.3,5.3,0.425,1.1,3.1,0.34600000000000003,1.4,1.8,0.774,0.6,1.7,1.1,3.2,4.4,1.0,0.6,0.0,6.9
99,100,Simon Birgander,JOV,13,19.0,3.1,5.5,0.563,0.0,0.0,0.0,0.8,1.2,0.667,0.5,2.8,2.3,2.5,4.8,0.7,0.6,0.6,6.9
